text,label
We noticed suspicious activity in your Gmail. Secure your account now.,1
"You've won a lottery! Claim your $10,000 prize by clicking this link.",1
Your account has been compromised. Click here to reset your password.,1
Your PayPal payment failed. Update your details here to continue.,1
Urgent action required: Verify your credit card details immediately.,1
Security Alert: Unusual login detected. Verify your account immediately.,1
Urgent action required: Verify your credit card details immediately.,1
Urgent action required: Verify your credit card details immediately.,1
We noticed suspicious activity in your Gmail. Secure your account now.,1
We noticed suspicious activity in your Gmail. Secure your account now.,1
"Amazon order placed! If this wasn't you, click here to cancel.",1
Final warning: Your Netflix account will be locked. Update payment info.,1
We noticed suspicious activity in your Gmail. Secure your account now.,1
We noticed suspicious activity in your Gmail. Secure your account now.,1
"You've won a lottery! Claim your $10,000 prize by clicking this link.",1
"Amazon order placed! If this wasn't you, click here to cancel.",1
"Amazon order placed! If this wasn't you, click here to cancel.",1
"You've won a lottery! Claim your $10,000 prize by clicking this link.",1
"Amazon order placed! If this wasn't you, click here to cancel.",1
Security Alert: Unusual login detected. Verify your account immediately.,1
Your PayPal payment failed. Update your details here to continue.,1
Urgent action required: Verify your credit card details immediately.,1
Security Alert: Unusual login detected. Verify your account immediately.,1
Your account has been compromised. Click here to reset your password.,1
"Amazon order placed! If this wasn't you, click here to cancel.",1
Urgent action required: Verify your credit card details immediately.,1
Your PayPal payment failed. Update your details here to continue.,1
Urgent: Confirm your bank details now to prevent account suspension.,1
Your account has been compromised. Click here to reset your password.,1
"You've won a lottery! Claim your $10,000 prize by clicking this link.",1
Urgent: Confirm your bank details now to prevent account suspension.,1
Final warning: Your Netflix account will be locked. Update payment info.,1
Urgent: Confirm your bank details now to prevent account suspension.,1
Final warning: Your Netflix account will be locked. Update payment info.,1
Urgent: Confirm your bank details now to prevent account suspension.,1
"Amazon order placed! If this wasn't you, click here to cancel.",1
"Amazon order placed! If this wasn't you, click here to cancel.",1
Your PayPal payment failed. Update your details here to continue.,1
Urgent action required: Verify your credit card details immediately.,1
Final warning: Your Netflix account will be locked. Update payment info.,1
Security Alert: Unusual login detected. Verify your account immediately.,1
"Amazon order placed! If this wasn't you, click here to cancel.",1
Urgent action required: Verify your credit card details immediately.,1
Final warning: Your Netflix account will be locked. Update payment info.,1
Security Alert: Unusual login detected. Verify your account immediately.,1
"Amazon order placed! If this wasn't you, click here to cancel.",1
Final warning: Your Netflix account will be locked. Update payment info.,1
Your account has been compromised. Click here to reset your password.,1
"You've won a lottery! Claim your $10,000 prize by clicking this link.",1
Security Alert: Unusual login detected. Verify your account immediately.,1
"Hi John, just checking in to see how you're doing.",0
Newsletter: Top 10 travel destinations for this summer.,0
Thanks for your payment! Your invoice is attached.,0
Weekly report: Sales performance update and key highlights.,0
"Hi John, just checking in to see how you're doing.",0
"Hey team, please review the attached document for our project.",0
Your Amazon order has been shipped. Track your package here.,0
Weekly report: Sales performance update and key highlights.,0
Newsletter: Top 10 travel destinations for this summer.,0
"Hey team, please review the attached document for our project.",0
"Hey team, please review the attached document for our project.",0
"Hi John, just checking in to see how you're doing.",0
"Hi John, just checking in to see how you're doing.",0
Reminder: Your dentist appointment is on Friday at 3 PM.,0
Your subscription renewal was successful. Thank you for staying with us.,0
"Hi John, just checking in to see how you're doing.",0
Thanks for your payment! Your invoice is attached.,0
"Hey team, please review the attached document for our project.",0
Welcome to our service! Here are some tips to get started.,0
Your subscription renewal was successful. Thank you for staying with us.,0
Meeting scheduled for Monday at 10 AM. See you then!,0
Weekly report: Sales performance update and key highlights.,0
"Hey team, please review the attached document for our project.",0
Thanks for your payment! Your invoice is attached.,0
"Hey team, please review the attached document for our project.",0
Your subscription renewal was successful. Thank you for staying with us.,0
Weekly report: Sales performance update and key highlights.,0
"Hey team, please review the attached document for our project.",0
Weekly report: Sales performance update and key highlights.,0
Your Amazon order has been shipped. Track your package here.,0
Meeting scheduled for Monday at 10 AM. See you then!,0
"Hey team, please review the attached document for our project.",0
Thanks for your payment! Your invoice is attached.,0
Your Amazon order has been shipped. Track your package here.,0
Newsletter: Top 10 travel destinations for this summer.,0
Reminder: Your dentist appointment is on Friday at 3 PM.,0
Meeting scheduled for Monday at 10 AM. See you then!,0
Newsletter: Top 10 travel destinations for this summer.,0
"Hey team, please review the attached document for our project.",0
Welcome to our service! Here are some tips to get started.,0
Thanks for your payment! Your invoice is attached.,0
Meeting scheduled for Monday at 10 AM. See you then!,0
Newsletter: Top 10 travel destinations for this summer.,0
Welcome to our service! Here are some tips to get started.,0
"Hi John, just checking in to see how you're doing.",0
Reminder: Your dentist appointment is on Friday at 3 PM.,0
Your Amazon order has been shipped. Track your package here.,0
Reminder: Your dentist appointment is on Friday at 3 PM.,0
Meeting scheduled for Monday at 10 AM. See you then!,0
"Hey team, please review the attached document for our project.",0
